genus,species,fangs,toxicity,rating,common name
Chironius,foveatus,rear-fanged,unclear toxicity,???,South American Sipo
Chironius,fuscus,rear-fanged,unclear toxicity,???,Brown Sipo
Chironius,grandisquamis,rear-fanged,unclear toxicity,???,Ecuador Sipo
Chironius,laevicollis,rear-fanged,unclear toxicity,???,Brazilian Sipo
Chironius,laurenti,rear-fanged,unclear toxicity,???,Machete
Chironius,leucometapus,rear-fanged,unclear toxicity,???,Yellow headed Sipo
Chironius,maculoventris,rear-fanged,unclear toxicity,???,Spot bellied Sipo
Chironius,monticola,rear-fanged,unclear toxicity,???,Mountain Sipo
Chironius,multiventris,rear-fanged,unclear toxicity,???,South American Sipo
Chironius,quadricarinatus,rear-fanged,unclear toxicity,???,Central Sipo
Chironius,scurrulus,rear-fanged,unclear toxicity,???,Wagler's Sipo
Chironius,septentrionalis,rear-fanged,unclear toxicity,???,South American Sipo
Chironius,spixii,rear-fanged,unclear toxicity,???,Sipo
Chironius,vincenti,rear-fanged,unclear toxicity,???,Saint Vincent racer
Chrysopelea,ornata,rear-fanged,venomous,considered harmless,Golden Flying Snake
Chrysopelea,paradisi,rear-fanged,venomous,unclear dangerousness,Paradise Tree Snake
Chrysopelea,pelias,rear-fanged,venomous,unclear dangerousness,Twin barred Tree Snake
Chrysopelea,rhodopleuron,rear-fanged,venomous,unclear dangerousness,Moluccan Flying Snake
Chrysopelea,taprobanica,rear-fanged,venomous,unclear dangerousness,Indian Flying Snake
Coelognathus,enganensis,rear-fanged,unclear toxicity,???,Enggano Rat Snake
Coelognathus,erythrurus,rear-fanged,unclear toxicity,???,Reddish Rat Snake
Coelognathus,flavolineatus,rear-fanged,unclear toxicity,???,Yellow striped Snake
Coelognathus,helena,rear-fanged,unclear toxicity,???,Common Trinket Snake
Coelognathus,philippinus,rear-fanged,unclear toxicity,???,Reddish Rat Snake
Coelognathus,radiatus,rear-fanged,unclear toxicity,???,Copper headed Trinket Snake
Coelognathus,subradiatus,rear-fanged,unclear toxicity,???,Sunda Rat Snake
Coluber,constrictor,rear-fanged,unclear toxicity,???,Eastern Racer
Coluber,fuliginosus,rear-fanged,unclear toxicity,???,Baja California Coachwhip
Colubroelaps,nguyenvansangi,rear-fanged,unclear toxicity,???,Nguyenvansang’s Snake
Conopsis,acuta,rear-fanged,unclear toxicity,???,Spotted Tolucan Earth Snake
Conopsis,amphisticha,rear-fanged,unclear toxicity,???,Twin spotted Tolucan Ground Snake
Conopsis,biserialis,rear-fanged,unclear toxicity,???,Two lined Mexican Earth Snake
Conopsis,lineata,rear-fanged,unclear toxicity,???,Lined Tolucan Ground Snake
Conopsis,megalodon,rear-fanged,unclear toxicity,???,San Felipe Ground Snake
Conopsis,nasus,rear-fanged,unclear toxicity,???,Largenose Earth Snake
Coronella,austriaca,rear-fanged,unclear toxicity,???,Smooth Snake
Coronella,brachyura,rear-fanged,unclear toxicity,???,Indian Smooth Snake
Coronella,girondica,rear-fanged,unclear toxicity,???,Southern Smooth Snake
Crotaphopeltis,barotseensis,rear-fanged,venomous,unclear dangerousness,Barotse Water Snake
Crotaphopeltis,braestrupi,rear-fanged,venomous,unclear dangerousness,Tana Herald Snake
Crotaphopeltis,degeni,rear-fanged,venomous,unclear dangerousness,Yellow flanked snake
Crotaphopeltis,hippocrepis,rear-fanged,venomous,unclear dangerousness,West African Herald Snake
Crotaphopeltis,hotamboeia,rear-fanged,venomous,harmful bite,Red lipped Snake
Crotaphopeltis,tornieri,rear-fanged,venomous,unclear dangerousness,Werner's Water Snake
Cyclophiops,doriae,rear-fanged,unclear toxicity,???,Doria's Green Snake
Cyclophiops,hamptoni,rear-fanged,unclear toxicity,???,Hampton's Green Snake
Cyclophiops,herminae,rear-fanged,unclear toxicity,???,Sakishima Green Snake
Cyclophiops,major,rear-fanged,unclear toxicity,???,Chinese Green Snake
Cyclophiops,multicinctus,rear-fanged,unclear toxicity,???,North China Green Snake
Cyclophiops,semicarinatus,rear-fanged,unclear toxicity,???,Ryukyu Green Snake
